Date,S&P Cryptocurrency Broad Digital Market Index (USD)
2017-02-28,100
2017-03-01,102.93
2017-03-02,108.62
2017-03-03,108.78
2017-03-06,108.92
2017-03-07,105.78
2017-03-08,98.74
2017-03-09,102.54
2017-03-10,109.4
2017-03-13,110.7
2017-03-14,111.7
2017-03-15,114.09
2017-03-16,111.46
2017-03-17,109.48
2017-03-20,101.91
2017-03-21,107.3
2017-03-22,99.19
2017-03-23,101.76
2017-03-24,100.31
2017-03-27,103.09
2017-03-28,104.05
2017-03-29,106.15
2017-03-30,106.15
2017-03-31,109.15
2017-04-03,113.76
2017-04-04,113.43
2017-04-05,113.31
2017-04-06,115.52
2017-04-07,116.33
2017-04-10,117.75
2017-04-11,118.68
2017-04-12,120.08
2017-04-13,118.2
2017-04-14,118.24
2017-04-17,119.2
2017-04-18,120.44
2017-04-19,120.71
2017-04-20,122.56
2017-04-21,124.04
2017-04-24,126.29
2017-04-25,128.6
2017-04-26,132.32
2017-04-27,137.65
2017-04-28,139.85
2017-05-01,152.2
2017-05-02,156.61
2017-05-03,161.45
2017-05-04,173.29
2017-05-05,173.58
2017-05-08,187.72
2017-05-09,193.03
2017-05-10,197.39
2017-05-11,201.86
2017-05-12,187.52
2017-05-15,196.45
2017-05-16,204.29
2017-05-17,214.71
2017-05-18,218.53
2017-05-19,232.03
2017-05-22,266.55
2017-05-23,274.66
2017-05-24,304.11
2017-05-25,293.57
2017-05-26,280.52
2017-05-29,289.84
2017-05-30,288.63
2017-05-31,301.19
2017-06-01,310.27
2017-06-02,310.61
2017-06-05,342.96
2017-06-06,361.57
2017-06-07,357.89
2017-06-08,353.02
2017-06-09,368.16
2017-06-12,373.21
2017-06-13,407.63
2017-06-14,381.38
2017-06-15,342.41
2017-06-16,374.46
2017-06-19,385.13
2017-06-20,400.52
2017-06-21,367.49
2017-06-22,380.13
2017-06-23,385.73
2017-06-26,300.41
2017-06-27,324.84
2017-06-28,363.23
2017-06-29,357.18
2017-06-30,346.46
2017-07-03,347.07
2017-07-04,346.75
2017-07-05,351.78
2017-07-06,346.45
2017-07-07,329.87
2017-07-10,302.88
2017-07-11,277.82
2017-07-12,304.03
2017-07-13,288.54
2017-07-14,274.03
2017-07-17,260.39
2017-07-18,303.56
2017-07-19,273.71
2017-07-20,323.81
2017-07-21,318.71
2017-07-24,337.16
2017-07-25,298.92
2017-07-26,298.55
2017-07-27,306.7
2017-07-28,314.64
2017-07-31,323.99
2017-08-01,334.22
2017-08-02,325.19
2017-08-03,335.28
